ID,EZI_ROAD_NAME,ROAD_NAME,ROAD_TYPE,AGE_LESS_THAN_15YRS_PCNT,AGE_15_24YRS_PCNT,AGE_25_44YRS_PCNT,AGE_45_64YRS_PCNT,AGE_18YRS_OVER_PCNT,AGE_65YRS_OVER_PCNT,SEO_PERSONS_PCNT,FC_COUPLE_NO_CHILDREN_PCNT,FC_COUPLE_WITH_CHILDREN_PCNT,FC_SINGLE_PARENT,CARS_ZERO_HH_PCNT,CARS_ONE_HH_PCNT,CARS_TWO_OR_MORE_HH_PCNT,DWELLING_SEP_HOUSE_PCNT,DWELLING_SEMID_RO_OR_TCE_H_TH_P,DWELLING_FLAT_UNIT_APART_PCNT,OCCUPATION_WHITE_COLLAR_PCNT,OCCUPATION_BLUE_COLLAR_PCNT,SEIFA,Commercial%,Industrial%,Residential%,Parkland%,Primary_Production%,Lq_Licenses,Intersection,Supermarket,primary_school,secondary_school,km_post,traffic_signal,Blackspot
9394,SOUTH FACE ROAD,SOUTH FACE,ROAD,0,0,0,0,1,1,0.666666667,0,0,0,0,0.666666667,0.333333333,1,0,0,0,0,0,0,0,0,1,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
5239,LITTLE FOREST ROAD,LITTLE FOREST,ROAD,0.2,0.136111111,0.197222222,0.341666667,0.761111111,0.125,0.853658537,0.37755102,0.520408163,0.12244898,0.025862069,0.172413793,0.75,1,0,0,0.695121951,0.37195122,1014,0,0,0,0.197549743,0.802450257,0,non-Intersection,0,0,0,0,0,non-Blackspot
621,MITCHEM STREET,MITCHEM,STREET,0.148760331,0.121212121,0.225895317,0.327823691,0.787878788,0.17630854,0.925,0.401960784,0.401960784,0.196078431,0.042553191,0.404255319,0.503546099,0.88028169,0.098591549,0.021126761,0.626436782,0.367816092,980,0,0,0.895241342,0,0.104758658,0,non-Intersection,0,0,0,0,0,non-Blackspot
4019,MCKENZIE STREET,MCKENZIE,STREET,0.176377953,0.14015748,0.171653543,0.277165354,0.771653543,0.234645669,0.84591195,0.352941176,0.405228758,0.209150327,0.109311741,0.412955466,0.425101215,0.976,0.012,0,0.677419355,0.330645161,920,0,0,0.535023765,0.219856576,0,0,non-Intersection,0,0,1,0,0,non-Blackspot
794,STAFFORDSHIRE REEF ROAD,STAFFORDSHIRE REEF,ROAD,0.185303514,0.102236422,0.194888179,0.348242812,0.757188498,0.169329073,0.950310559,0.505154639,0.360824742,0.103092784,0,0.177570093,0.785046729,1,0,0,0.641221374,0.305343511,1001,0,0,0,0.352478102,0.647521898,0,non-Intersection,0,0,0,0,0,non-Blackspot
1707,WALTONS ROAD,WALTONS,ROAD,0.175040519,0.142625608,0.160453809,0.369529984,0.761750405,0.152350081,0.90923825,0.402234637,0.491620112,0.05027933,0,0.157068063,0.816753927,1,0,0,0.665653495,0.328267477,1061,0,0,0,0,0.842822234,0,non-Intersection,0,0,0,0,0,non-Blackspot
1741,CAPE OTWAY ROAD,CAPE OTWAY,ROAD,0.211267606,0.123239437,0.207746479,0.330985915,0.764084507,0.126760563,0.975609756,0.448275862,0.471264368,0.08045977,0,0.125,0.875,0.961165049,0,0,0.666666667,0.384615385,1060,0,0,0.442613907,0,0.557386093,1,non-Intersection,0,1,0,1,0,non-Blackspot
8885,GLENELG HIGHWAY,GLENELG,HIGHWAY,0.251612903,0.11827957,0.232258065,0.238709677,0.701075269,0.159139785,0.914660832,0.346774194,0.596774194,0.072580645,0.021126761,0.147887324,0.774647887,1,0,0,0.576719577,0.423280423,1020,0,0,0.930531339,0,0.048830801,0,Intersection,0,0,0,1,0,non-Blackspot
5552,DEPOT ROAD,DEPOT,ROAD,0.235507246,0.065217391,0.231884058,0.27173913,0.731884058,0.195652174,0.933579336,0.492063492,0.365079365,0.238095238,0.059322034,0.398305085,0.423728814,0.805309735,0,0.044247788,0.55,0.4375,840,0,0,0.635751929,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
3189,RHYLL-NEWHAVEN ROAD,RHYLL-NEWHAVEN,ROAD,0.121794872,0.102564103,0.16025641,0.365384615,0.878205128,0.25,0.882352941,0.609756098,0.341463415,0,0,0.230769231,0.769230769,1,0,0,0.739130435,0.231884058,1048,0,0,0.134590572,0,0.865409428,0,non-Intersection,0,0,0,0,0,non-Blackspot
640,DARCY STREET,DARCY,STREET,0.271714922,0.142538976,0.381959911,0.144766147,0.677060134,0.059020045,0.878888889,0.302040816,0.502040816,0.183673469,0.012578616,0.286163522,0.691823899,0.990353698,0.009646302,0,0.578341014,0.435483871,970,0,0.012595781,0.976515188,0.01088903,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
6750,NINE MILE ROAD,NINE MILE,ROAD,0.203448276,0.072413793,0.175862069,0.34137931,0.772413793,0.206896552,0.923333333,0.523809524,0.404761905,0.047619048,0,0.155963303,0.816513761,1,0,0,0.729166667,0.305555556,1035,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
1746,CAPE OTWAY ROAD,CAPE OTWAY,ROAD,0.172,0.12,0.224,0.36,0.78,0.124,0.92578125,0.4375,0.5625,0.078125,0,0.101265823,0.898734177,1,0,0,0.618055556,0.319444444,1073,0,0,0.58447381,0,0.41552619,1,non-Intersection,0,1,0,0,0,non-Blackspot
9872,WONTHAGGI ROAD,WONTHAGGI,ROAD,0.17884131,0.078085642,0.234256927,0.25440806,0.793450882,0.25440806,0.876923077,0.402173913,0.358695652,0.22826087,0.12804878,0.420731707,0.365853659,0.84939759,0.15060241,0,0.613793103,0.344827586,891,0,0,0.588339213,0,0.411660787,0,non-Intersection,0,0,0,1,0,non-Blackspot
8335,GORDON STREET,GORDON,STREET,0.192872117,0.092243187,0.226415094,0.19706499,0.763102725,0.291404612,0.849287169,0.431818182,0.257575758,0.234848485,0.065217391,0.451086957,0.434782609,0.978723404,0.021276596,0,0.573964497,0.360946746,872,0.037564144,0,0.962435856,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
7615,GREENDALE-TRENTHAM ROAD,GREENDALE-TRENTHAM,ROAD,0.167763158,0.0625,0.286184211,0.322368421,0.815789474,0.161184211,0.818791946,0.454545455,0.363636364,0.227272727,0.054545455,0.372727273,0.545454545,1,0,0,0.72,0.312,998,0,0,0.380878615,0.619121385,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
6358,CHURCHILL STREET,CHURCHILL,STREET,0.166994106,0.119842829,0.237721022,0.263261297,0.801571709,0.212180747,0.910679612,0.408759124,0.357664234,0.204379562,0.048076923,0.423076923,0.495192308,0.911627907,0.074418605,0.013953488,0.613445378,0.394957983,946,0,0,1,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
6291,HILLANDALE ROAD,HILLANDALE,ROAD,0.18313253,0.144578313,0.21686747,0.286746988,0.742168675,0.168674699,0.921914358,0.358490566,0.490566038,0.169811321,0.053333333,0.3,0.626666667,0.839160839,0.111888112,0.048951049,0.668393782,0.29015544,994,0,0,1,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
1662,BARRABOOL ROAD,BARRABOOL,ROAD,0.235294118,0.109243697,0.197478992,0.331932773,0.735294118,0.12605042,0.894273128,0.453125,0.484375,0.09375,0.041666667,0.055555556,0.902777778,1,0,0,0.752066116,0.247933884,1098,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
6681,CUMMINGS ROAD,CUMMINGS,ROAD,0.22706422,0.128440367,0.197247706,0.339449541,0.729357798,0.107798165,0.859484778,0.345454545,0.572727273,0.045454545,0,0.177419355,0.782258065,1,0,0,0.63,0.365,1020,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
5880,ORMOND ROAD,ORMOND,ROAD,0.134375,0.128125,0.19375,0.334375,0.825,0.209375,0.907643312,0.505617978,0.370786517,0.101123596,0,0.208695652,0.765217391,0.882352941,0,0,0.672955975,0.320754717,978,0,0,0,0,0.502480041,0,non-Intersection,0,0,0,0,0,non-Blackspot
3890,WHITE ROAD,WHITE,ROAD,0.131531532,0.079279279,0.153153153,0.291891892,0.837837838,0.344144144,0.863874346,0.52173913,0.246376812,0.202898551,0.130909091,0.425454545,0.370909091,0.829545455,0.034090909,0.098484848,0.628742515,0.359281437,849,0.100603442,0,0.712067228,0.186517808,0,2,Intersection,0,0,0,0,0,non-Blackspot
4770,BALLAN-EGERTON ROAD,BALLAN-EGERTON,ROAD,0.2,0.136111111,0.197222222,0.341666667,0.761111111,0.125,0.853658537,0.37755102,0.520408163,0.12244898,0.025862069,0.172413793,0.75,1,0,0,0.695121951,0.37195122,1014,0,0,0,0,0.472783062,0,non-Intersection,0,0,0,0,0,non-Blackspot
8945,BIMBADEEN DRIVE,BIMBADEEN,DRIVE,0.107344633,0.124293785,0.144067797,0.372881356,0.833333333,0.251412429,0.906515581,0.5,0.34375,0.104166667,0,0.312,0.688,1,0,0,0.676646707,0.347305389,1086,0,0,1,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
7592,ORIEL STREET,ORIEL,STREET,0.226233454,0.10709988,0.267148014,0.23465704,0.742478941,0.164861613,0.888619855,0.436018957,0.431279621,0.165876777,0.021126761,0.313380282,0.63028169,0.894197952,0.010238908,0.09556314,0.57223796,0.410764873,964,0,0,1,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
8837,JUNE STREET,JUNE,STREET,0.157088123,0.103448276,0.187739464,0.398467433,0.796934866,0.153256705,0.847583643,0.4,0.457142857,0.185714286,0.047169811,0.311320755,0.613207547,0.923076923,0.048076923,0,0.483870968,0.459677419,912,0,0,0.679173597,0.255351819,0.065474584,0,non-Intersection,0,0,0,0,0,non-Blackspot
9022,TANNERY ROAD,TANNERY,ROAD,0.174216028,0.132404181,0.271777003,0.296167247,0.780487805,0.12543554,0.94265233,0.38961039,0.415584416,0.064935065,0,0.228571429,0.723809524,1,0,0,0.515873016,0.412698413,969,0,0,0.249230708,0,0.750769292,0,non-Intersection,0,0,0,0,0,non-Blackspot
77,HANDLEY STREET,HANDLEY,STREET,0.167763158,0.0625,0.286184211,0.322368421,0.815789474,0.161184211,0.818791946,0.454545455,0.363636364,0.227272727,0.054545455,0.372727273,0.545454545,1,0,0,0.72,0.312,998,0,0,0.837775488,0.162224512,0,1,non-Intersection,0,0,0,0,0,non-Blackspot
9303,MCDOUGAL ROAD,MCDOUGAL,ROAD,0.162650602,0.108433735,0.156626506,0.379518072,0.789156627,0.192771084,0.951807229,0.510638298,0.446808511,0.085106383,0,0.13559322,0.86440678,1,0,0,0.630434783,0.402173913,1015,0,0,0,0.630499951,0.092526821,0,non-Intersection,0,0,0,0,0,non-Blackspot
5865,PRINCES WAY,PRINCES,WAY,0.134375,0.128125,0.19375,0.334375,0.825,0.209375,0.907643312,0.505617978,0.370786517,0.101123596,0,0.208695652,0.765217391,0.882352941,0,0,0.672955975,0.320754717,978,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
7991,SCOTTYS ROAD,SCOTTYS,ROAD,0.220843672,0.138957816,0.208436725,0.312655087,0.724565757,0.1191067,0.944303797,0.37037037,0.555555556,0.12962963,0,0.134453782,0.831932773,1,0,0,0.56122449,0.43877551,1017,0,0,0,0,0.270112924,0,non-Intersection,0,0,0,0,0,non-Blackspot
9132,MIDLAND HIGHWAY,MIDLAND,HIGHWAY,0.190721649,0.079896907,0.206185567,0.337628866,0.768041237,0.18556701,0.923664122,0.460869565,0.426086957,0.043478261,0.022058824,0.125,0.830882353,1,0,0,0.693069307,0.321782178,1017,0,0,0,0.497355524,0.502644476,0,non-Intersection,0,0,0,0,0,non-Blackspot
1916,LOUTITT BAY ROAD,LOUTITT BAY,ROAD,0.175059952,0.105515588,0.175059952,0.340527578,0.779376499,0.20383693,0.953316953,0.464,0.472,0.088,0.04,0.133333333,0.786666667,1,0,0,0.771300448,0.197309417,1088,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
2444,BAMBRA-AIREYS INLET ROAD,BAMBRA-AIREYS INLET,ROAD,0.198895028,0.091160221,0.182320442,0.35359116,0.751381215,0.174033149,0.820936639,0.481481481,0.419753086,0.111111111,0,0.330275229,0.642201835,0.972727273,0,0,0.652694611,0.335329341,1050,0,0,0,0.498310912,0.501689088,0,non-Intersection,0,0,0,0,0,non-Blackspot
2253,FLAXBOURNES ROAD,FLAXBOURNES,ROAD,0.198895028,0.091160221,0.182320442,0.35359116,0.751381215,0.174033149,0.820936639,0.481481481,0.419753086,0.111111111,0,0.330275229,0.642201835,0.972727273,0,0,0.652694611,0.335329341,1050,0,0,0,0.558239698,0.441760302,0,non-Intersection,0,0,0,0,0,non-Blackspot
1128,DUGGAN ROAD,DUGGAN,ROAD,0.166666667,0.072649573,0.162393162,0.431623932,0.803418803,0.166666667,0.942982456,0.452054795,0.424657534,0.095890411,0,0.195652174,0.77173913,1,0,0,0.661290323,0.298387097,1022,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
362,NELSON STREET,NELSON,STREET,0.21039604,0.123762376,0.287128713,0.25990099,0.74009901,0.118811881,0.940298507,0.292682927,0.447154472,0.203252033,0,0.239130435,0.760869565,0.978873239,0.021126761,0,0.609137056,0.390862944,985,0,0,0.813175376,0,0,0,non-Intersection,0,1,0,0,0,non-Blackspot
6727,BROADBENT STREET,BROADBENT,STREET,0.248780488,0.126829268,0.23902439,0.273170732,0.685365854,0.112195122,0.879901961,0.289719626,0.570093458,0.140186916,0.02238806,0.201492537,0.708955224,1,0,0,0.576271186,0.457627119,979,0,0,0.991576118,0,0.008423882,1,non-Intersection,0,0,0,0,0,non-Blackspot
1401,RED GUM DRIVE,RED GUM,DRIVE,0.254237288,0.086440678,0.291525424,0.262711864,0.706779661,0.105084746,0.927852349,0.351515152,0.575757576,0.096969697,0,0.125,0.854166667,1,0,0,0.552188552,0.427609428,1014,0,0,0.969369851,0.030630149,0,0,non-Intersection,0,0,0,1,0,non-Blackspot
3154,SOUTHAMPTON STREET,SOUTHAMPTON,STREET,0.102669405,0.049281314,0.127310062,0.36550308,0.885010267,0.35523614,0.943396226,0.612676056,0.26056338,0.147887324,0.018018018,0.364864865,0.585585586,1,0,0,0.659898477,0.370558376,969,0,0,0.999748371,0,0.000251629,0,non-Intersection,0,0,0,0,0,non-Blackspot
3178,OLD COACH ROAD,OLD COACH,ROAD,0.107344633,0.124293785,0.144067797,0.372881356,0.833333333,0.251412429,0.906515581,0.5,0.34375,0.104166667,0,0.312,0.688,1,0,0,0.676646707,0.347305389,1086,0,0,0.489341792,0.510658208,0,0,non-Intersection,0,0,0,1,0,non-Blackspot
2321,WENSLEYDALE STATION ROAD,WENSLEYDALE STATION,ROAD,0.198895028,0.091160221,0.182320442,0.35359116,0.751381215,0.174033149,0.820936639,0.481481481,0.419753086,0.111111111,0,0.330275229,0.642201835,0.972727273,0,0,0.652694611,0.335329341,1050,0,0,0,0.355927273,0.644072727,0,Intersection,0,0,0,0,0,non-Blackspot
3005,FISHER STREET,FISHER,STREET,0.137640449,0.06741573,0.16011236,0.331460674,0.83988764,0.303370787,0.894886364,0.567307692,0.269230769,0.173076923,0.028985507,0.253623188,0.688405797,1,0,0,0.637583893,0.32885906,1003,0,0,0.808965608,0.191034392,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
766,BRISBANE RANGES ROAD,BRISBANE RANGES,ROAD,0.158385093,0.111801242,0.183229814,0.344720497,0.788819876,0.201863354,0.909090909,0.551020408,0.397959184,0.091836735,0,0.092783505,0.907216495,1,0,0,0.583850932,0.385093168,1014,0,0,0,0.712318078,0.287681922,0,non-Intersection,0,0,0,0,0,non-Blackspot
7390,WALLACE STREET,WALLACE,STREET,0.23902439,0.109756098,0.236585366,0.280487805,0.729268293,0.134146341,0.884422111,0.319148936,0.478723404,0.29787234,0.023809524,0.325396825,0.619047619,0.930232558,0,0.046511628,0.529032258,0.425806452,894,0,0,0.967193315,0,0.013709437,0,non-Intersection,0,0,0,0,0,non-Blackspot
9311,BANNOCKBURN-SHELFORD ROAD,BANNOCKBURN-SHELFORD,ROAD,0.234449761,0.124401914,0.236044657,0.261562998,0.709728868,0.14354067,0.922098569,0.333333333,0.488505747,0.137931034,0.014634146,0.185365854,0.765853659,1,0,0,0.543859649,0.414035088,972,0,0.428652555,0.065117144,0,0.5062303,0,non-Intersection,0,0,0,1,0,non-Blackspot
2015,FORESHORE ROAD,FORESHORE,ROAD,0.162995595,0.077092511,0.162995595,0.332599119,0.806167401,0.264317181,0.892134831,0.513043478,0.330434783,0.104347826,0.016949153,0.288135593,0.655367232,0.937142857,0.045714286,0,0.648044693,0.407821229,946,0,0,0.24253086,0,0.75746914,0,non-Intersection,0,0,0,0,0,non-Blackspot
3014,MANNA GUM DRIVE,MANNA GUM,DRIVE,0.172375691,0.086187845,0.167955801,0.303867403,0.790055249,0.26961326,0.862723214,0.528688525,0.360655738,0.131147541,0.052173913,0.362318841,0.539130435,0.982352941,0.017647059,0,0.629427793,0.343324251,977,0,0,1,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
1470,BAKERS BRIDGE ROAD,BAKERS BRIDGE,ROAD,0.236923077,0.16,0.224615385,0.28,0.664615385,0.098461538,0.933130699,0.373493976,0.530120482,0.048192771,0,0.157407407,0.814814815,1,0,0,0.624203822,0.375796178,1071,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
8314,SEAHAZE DRIVE,SEAHAZE,DRIVE,0.271825397,0.083333333,0.236111111,0.271825397,0.68452381,0.136904762,0.938900204,0.391304348,0.485507246,0.101449275,0,0.322981366,0.652173913,1,0,0,0.72972973,0.202702703,1077,0,0,0.959650927,0.040349073,0,0,Intersection,0,0,0,0,0,non-Blackspot
3617,WOOLAMAI BEACH ROAD,WOOLAMAI BEACH,ROAD,0.195928753,0.086513995,0.20610687,0.318066158,0.763358779,0.193384224,0.951530612,0.442307692,0.490384615,0.144230769,0,0.346405229,0.60130719,1,0,0,0.674157303,0.258426966,1011,0,0,0.696698036,0.303301964,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
9120,GRENVILLE DRIVE,GRENVILLE,DRIVE,0.185303514,0.102236422,0.194888179,0.348242812,0.757188498,0.169329073,0.950310559,0.505154639,0.360824742,0.103092784,0,0.177570093,0.785046729,1,0,0,0.641221374,0.305343511,1001,0,0,0,0.452174241,0.547825759,0,non-Intersection,0,0,0,0,0,non-Blackspot
5870,CERVI ROAD,CERVI,ROAD,0.196428571,0.116071429,0.183035714,0.290178571,0.776785714,0.214285714,0.926267281,0.571428571,0.464285714,0,0,0.15625,0.84375,1,0,0,0.612903226,0.268817204,979,0,0,0,0.085839101,0.914160899,0,non-Intersection,0,0,0,0,0,non-Blackspot
5559,KINGS ROAD,KINGS,ROAD,0.17578125,0.08203125,0.1875,0.3125,0.7734375,0.2421875,0.874509804,0.449275362,0.420289855,0.188405797,0,0.16091954,0.793103448,1,0,0,0.644230769,0.326923077,1002,0,0,0,0,1,0,non-Intersection,0,0,0,1,0,non-Blackspot
5981,BRIGGS ROAD,BRIGGS,ROAD,0.177177177,0.135135135,0.147147147,0.27027027,0.777777778,0.27027027,0.88125,0.511111111,0.4,0.088888889,0.028571429,0.133333333,0.8,1,0,0,0.636363636,0.266233766,1032,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
8787,OCEANVIEW DRIVE,OCEANVIEW,DRIVE,0.173515982,0.0456621,0.219178082,0.333333333,0.810502283,0.228310502,0.887387387,0.566666667,0.333333333,0.091666667,0.016304348,0.35326087,0.565217391,0.790960452,0.192090395,0,0.685863874,0.308900524,1004,0,0,0.635486607,0.364513393,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
5781,BLOOMFIELD ROAD,BLOOMFIELD,ROAD,0.15060241,0.123493976,0.186746988,0.376506024,0.819277108,0.162650602,0.915915916,0.478723404,0.372340426,0.127659574,0,0.153225806,0.846774194,0.966942149,0.033057851,0,0.631868132,0.384615385,1002,0,0,0,0,0.548371054,0,non-Intersection,0,0,0,1,0,non-Blackspot
7108,CHILDERS CONNECTION ROAD,CHILDERS CONNECTION,ROAD,0.113333333,0.126666667,0.213333333,0.38,0.873333333,0.166666667,0.847133758,0.65,0.4,0.075,0,0.228070175,0.719298246,1,0,0,0.702380952,0.380952381,944,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
9217,ITALIAN GULLY ROAD,ITALIAN GULLY,ROAD,0.185303514,0.102236422,0.194888179,0.348242812,0.757188498,0.169329073,0.950310559,0.505154639,0.360824742,0.103092784,0,0.177570093,0.785046729,1,0,0,0.641221374,0.305343511,1001,0,0,0,0.442821657,0.372643287,0,non-Intersection,0,0,0,0,0,non-Blackspot
8493,DONS ROAD,DONS,ROAD,0.147058824,0.117647059,0.205882353,0.411764706,0.81372549,0.117647059,0.911504425,0.444444444,0.518518519,0,0.073170732,0.292682927,0.634146341,0.923076923,0,0,0.62962963,0.351851852,1045,0,0,0.058092019,0.386820052,0.555087929,0,non-Intersection,0,0,0,1,0,non-Blackspot
8170,OLD SALE ROAD,OLD SALE,ROAD,0.177177177,0.135135135,0.147147147,0.27027027,0.777777778,0.27027027,0.88125,0.511111111,0.4,0.088888889,0.028571429,0.133333333,0.8,1,0,0,0.636363636,0.266233766,1032,0,0,0,0,1,0,non-Intersection,0,0,0,0,0,non-Blackspot
3260,SMITHS BEACH ROAD,SMITHS BEACH,ROAD,0.121794872,0.102564103,0.16025641,0.365384615,0.878205128,0.25,0.882352941,0.609756098,0.341463415,0,0,0.230769231,0.769230769,1,0,0,0.739130435,0.231884058,1048,0,0,0,0,0.848903439,0,non-Intersection,0,0,0,1,0,non-Blackspot
6612,DANES ROAD,DANES,ROAD,0.165394402,0.17302799,0.175572519,0.333333333,0.765903308,0.152671756,0.942558747,0.394230769,0.567307692,0.028846154,0.023255814,0.139534884,0.782945736,1,0,0,0.660633484,0.316742081,1048,0,0,0.321581331,0,0.678418669,0,non-Intersection,0,0,0,0,0,non-Blackspot
3960,WEBB DRIVE,WEBB,DRIVE,0.14604811,0.094501718,0.176975945,0.228522337,0.835051546,0.35395189,0.874363328,0.523489933,0.234899329,0.268456376,0.099236641,0.515267176,0.34351145,0.958490566,0.041509434,0,0.5,0.512987013,824,0,0.329365233,0.670526918,0.00010785,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
6125,LILLICO ROAD,LILLICO,ROAD,0.218074656,0.143418468,0.266208251,0.260314342,0.729862475,0.111984283,0.857847976,0.409722222,0.46875,0.111111111,0,0.202416918,0.779456193,1,0,0,0.657943925,0.342056075,1044,0,0,0.756845612,0,0.243154388,0,non-Intersection,0,0,0,0,0,non-Blackspot
7279,HOPWOOD STREET,HOPWOOD,STREET,0.199556541,0.12195122,0.22616408,0.317073171,0.753880266,0.135254989,0.871396896,0.411290323,0.411290323,0.169354839,0.01910828,0.203821656,0.738853503,0.974842767,0,0,0.602040816,0.423469388,986,0,0,0.768823726,0,0,0,non-Intersection,0,0,0,0,0,non-Blackspot
2616,SMYTHE STREET,SMYTHE,STREET,0.130498534,0.080645161,0.162756598,0.326979472,0.851906158,0.299120235,0.896501458,0.597014925,0.233830846,0.144278607,0.029801325,0.347682119,0.579470199,1,0,0,0.578125,0.44140625,934,0,0,1,0,0,1,non-Intersection,0,0,0,0,0,non-Blackspot
